ts_iso,dir,can_id,dlc,data_hex
2025-08-10T16:00:11.032,RX,0x064,6,01 77 71 80 08 13,1,30577,128,8,19,,,,smc6
2025-08-10T16:00:11.136,RX,0x064,6,01 77 71 80 08 10,1,30577,128,8,16,,,,smc6
2025-08-10T16:00:11.238,RX,0x064,6,01 77 71 80 07 AF,1,30577,128,7,175,,,,smc6
2025-08-10T16:00:11.340,RX,0x064,6,01 77 71 80 07 E9,1,30577,128,7,233,,,,smc6
2025-08-10T16:00:11.441,RX,0x064,6,01 77 71 80 07 CC,1,30577,128,7,204,,,,smc6
2025-08-10T16:00:11.542,RX,0x064,6,01 77 71 80 08 31,1,30577,128,8,49,,,,smc6
2025-08-10T16:00:11.644,RX,0x064,6,01 77 71 80 08 3A,1,30577,128,8,58,,,,smc6
2025-08-10T16:00:11.747,RX,0x064,6,01 77 71 80 07 DC,1,30577,128,7,220,,,,smc6
2025-08-10T16:00:11.850,RX,0x064,6,01 77 71 80 07 D0,1,30577,128,7,208,,,,smc6
2025-08-10T16:00:11.951,RX,0x064,6,01 77 71 80 07 C7,1,30577,128,7,199,,,,smc6
2025-08-10T16:00:12.056,RX,0x064,6,01 77 71 80 08 13,1,30577,128,8,19,,,,smc6
2025-08-10T16:00:12.159,RX,0x064,6,01 77 71 80 07 D0,1,30577,128,7,208,,,,smc6
2025-08-10T16:00:12.264,RX,0x064,6,01 77 71 80 08 17,1,30577,128,8,23,,,,smc6
2025-08-10T16:00:12.369,RX,0x064,6,01 77 71 80 07 EB,1,30577,128,7,235,,,,smc6
2025-08-10T16:00:12.471,RX,0x064,6,01 77 71 80 07 F4,1,30577,128,7,244,,,,smc6
2025-08-10T16:00:12.571,RX,0x064,6,01 77 71 80 08 36,1,30577,128,8,54,,,,smc6
2025-08-10T16:00:12.672,RX,0x064,6,01 77 71 80 08 1E,1,30577,128,8,30,,,,smc6
2025-08-10T16:00:12.774,RX,0x064,6,01 77 71 80 08 41,1,30577,128,8,65,,,,smc6
2025-08-10T16:00:12.875,RX,0x064,6,01 77 71 80 08 20,1,30577,128,8,32,,,,smc6
2025-08-10T16:00:12.975,RX,0x064,6,01 77 71 80 07 EB,1,30577,128,7,235,,,,smc6
2025-08-10T16:00:13.076,RX,0x064,6,01 77 71 80 07 D6,1,30577,128,7,214,,,,smc6
2025-08-10T16:00:13.180,RX,0x064,6,01 77 71 80 08 31,1,30577,128,8,49,,,,smc6
2025-08-10T16:00:13.282,RX,0x064,6,01 77 71 80 07 C5,1,30577,128,7,197,,,,smc6
2025-08-10T16:00:13.384,RX,0x064,6,01 77 71 80 08 1E,1,30577,128,8,30,,,,smc6
